"","adm1_en","adm1_code","adm2_en","adm2_code","district_PSLM","district_PSLM_num","variable","value"
"53","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_basic_health_unit","2.6276364"
"54","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_basic_health_unit","2.2347405"
"55","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_basic_health_unit","1.1443709"
"56","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_basic_health_unit","2.0483887"
"57","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_basic_health_unit","1.4318929"
"58","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_basic_health_unit","0.70737106"
"59","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_basic_health_unit","2.9726536"
"60","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_basic_health_unit","1.0288351"
"61","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_basic_health_unit","2.5912437"
"62","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_basic_health_unit","2.7471194"
"63","Khyber Pakhtunkhwa","PK2","Tor Ghar","PK231","tor garh",131,"dist_basic_health_unit","3.1148131"
"64","Khyber Pakhtunkhwa","PK2","Upper Dir","PK230","upper dir",132,"dist_basic_health_unit","3.5012507"
"65","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"dist_health_clinic_hospital","3.3608902"
"66","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"dist_health_clinic_hospital","3.4168458"
"67","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"dist_health_clinic_hospital","3.7667105"
"68","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"dist_health_clinic_hospital","3.3133502"
"69","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"dist_health_clinic_hospital","3.8163621"
"70","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"dist_health_clinic_hospital","3.3515878"
"71","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"dist_health_clinic_hospital","3.3325775"
"72","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"dist_health_clinic_hospital","3.4076557"
"73","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"dist_health_clinic_hospital","4.015954"
"74","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"dist_health_clinic_hospital","3.6996999"
"75","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"dist_health_clinic_hospital","4.1512446"
"76","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"dist_health_clinic_hospital","2.4009326"
"77","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"dist_health_clinic_hospital","2.5932157"
"78","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"dist_health_clinic_hospital","3.9454627"
"79","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"dist_health_clinic_hospital","3.7113757"
"80","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"dist_health_clinic_hospital","3.7873704"
"81","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"dist_health_clinic_hospital","3.7838275"
"82","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"dist_health_clinic_hospital","3.1540196"
"83","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"dist_health_clinic_hospital","4.17062"
"84","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"dist_health_clinic_hospital","3.5983016"
"85","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_health_clinic_hospital","4.647212"
"86","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_health_clinic_hospital","4.7820635"
"87","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_health_clinic_hospital","3.3573315"
"88","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_health_clinic_hospital","2.9613669"
"89","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_health_clinic_hospital","3.0806835"
"90","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_health_clinic_hospital","1.4783263"
"91","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_health_clinic_hospital","3.0394573"
"92","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_health_clinic_hospital","2.8896155"
"93","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_health_clinic_hospital","3.4201617"
