"","adm1_en","adm2_en","variable","value"
"90","Khyber Pakhtunkhwa","FR Tank","pop_girls_middle_student",0
"91","Khyber Pakhtunkhwa","Hangu","pop_girls_middle_student",406
"92","Khyber Pakhtunkhwa","Haripur","pop_girls_middle_student",3661
"93","Khyber Pakhtunkhwa","Karak","pop_girls_middle_student",2820
"94","Khyber Pakhtunkhwa","Khyber","pop_girls_middle_student",0
"95","Khyber Pakhtunkhwa","Kohat","pop_girls_middle_student",2751
"96","Khyber Pakhtunkhwa","Kohistan","pop_girls_middle_student",169
"97","Khyber Pakhtunkhwa","Kurram","pop_girls_middle_student",0
"98","Khyber Pakhtunkhwa","Lakki Marwat","pop_girls_middle_student",2840
"99","Khyber Pakhtunkhwa","Lower Dir","pop_girls_middle_student",8087
"100","Khyber Pakhtunkhwa","Malakand PA","pop_girls_middle_student",3663
"101","Khyber Pakhtunkhwa","Mansehra","pop_girls_middle_student",3683
"102","Khyber Pakhtunkhwa","Mardan","pop_girls_middle_student",6864
"103","Khyber Pakhtunkhwa","Mohmand","pop_girls_middle_student",0
"104","Khyber Pakhtunkhwa","North Waziristan","pop_girls_middle_student",0
"105","Khyber Pakhtunkhwa","Nowshera","pop_girls_middle_student",4538
"106","Khyber Pakhtunkhwa","Orakzai","pop_girls_middle_student",0
"107","Khyber Pakhtunkhwa","Peshawar","pop_girls_middle_student",6844
"108","Khyber Pakhtunkhwa","Shangla","pop_girls_middle_student",815
"109","Khyber Pakhtunkhwa","South Waziristan","pop_girls_middle_student",0
"110","Khyber Pakhtunkhwa","Swabi","pop_girls_middle_student",5052
"111","Khyber Pakhtunkhwa","Swat","pop_girls_middle_student",6165
"112","Khyber Pakhtunkhwa","Tank","pop_girls_middle_student",820
"113","Khyber Pakhtunkhwa","Tor Ghar","pop_girls_middle_student",0
"114","Khyber Pakhtunkhwa","Upper Dir","pop_girls_middle_student",4540
"115","Khyber Pakhtunkhwa","Abbottabad","pop_girls_high_student",17293
"116","Khyber Pakhtunkhwa","Bajaur","pop_girls_high_student",0
"117","Khyber Pakhtunkhwa","Bannu","pop_girls_high_student",8750
"118","Khyber Pakhtunkhwa","Batagram","pop_girls_high_student",1024
"119","Khyber Pakhtunkhwa","Buner","pop_girls_high_student",7044
"120","Khyber Pakhtunkhwa","Charsadda","pop_girls_high_student",18927
"121","Khyber Pakhtunkhwa","Chitral","pop_girls_high_student",4721
"122","Khyber Pakhtunkhwa","Dera Ismail Khan","pop_girls_high_student",15659
"123","Khyber Pakhtunkhwa","FR Bannu","pop_girls_high_student",0
"124","Khyber Pakhtunkhwa","FR Dera Ismail Khan","pop_girls_high_student",0
"125","Khyber Pakhtunkhwa","FR Kohat","pop_girls_high_student",0
"126","Khyber Pakhtunkhwa","FR Lakki Marwat","pop_girls_high_student",0
"127","Khyber Pakhtunkhwa","FR Peshawar","pop_girls_high_student",0
"128","Khyber Pakhtunkhwa","FR Tank","pop_girls_high_student",0
"129","Khyber Pakhtunkhwa","Hangu","pop_girls_high_student",2862
"130","Khyber Pakhtunkhwa","Haripur","pop_girls_high_student",19899
"131","Khyber Pakhtunkhwa","Karak","pop_girls_high_student",10293
"132","Khyber Pakhtunkhwa","Khyber","pop_girls_high_student",0
"133","Khyber Pakhtunkhwa","Kohat","pop_girls_high_student",11356
"134","Khyber Pakhtunkhwa","Kohistan","pop_girls_high_student",97
"135","Khyber Pakhtunkhwa","Kurram","pop_girls_high_student",0
"136","Khyber Pakhtunkhwa","Lakki Marwat","pop_girls_high_student",6544
"137","Khyber Pakhtunkhwa","Lower Dir","pop_girls_high_student",20139
"138","Khyber Pakhtunkhwa","Malakand PA","pop_girls_high_student",15264
"139","Khyber Pakhtunkhwa","Mansehra","pop_girls_high_student",16919
"140","Khyber Pakhtunkhwa","Mardan","pop_girls_high_student",33755
"141","Khyber Pakhtunkhwa","Mohmand","pop_girls_high_student",0
"142","Khyber Pakhtunkhwa","North Waziristan","pop_girls_high_student",0
"143","Khyber Pakhtunkhwa","Nowshera","pop_girls_high_student",17894
"144","Khyber Pakhtunkhwa","Orakzai","pop_girls_high_student",0
"145","Khyber Pakhtunkhwa","Peshawar","pop_girls_high_student",33119
"146","Khyber Pakhtunkhwa","Shangla","pop_girls_high_student",988
"147","Khyber Pakhtunkhwa","South Waziristan","pop_girls_high_student",0
"148","Khyber Pakhtunkhwa","Swabi","pop_girls_high_student",28653
"149","Khyber Pakhtunkhwa","Swat","pop_girls_high_student",19152
"150","Khyber Pakhtunkhwa","Tank","pop_girls_high_student",2205
"151","Khyber Pakhtunkhwa","Tor Ghar","pop_girls_high_student",0
"152","Khyber Pakhtunkhwa","Upper Dir","pop_girls_high_student",5914
"153","Khyber Pakhtunkhwa","Abbottabad","pop_boys_primary_student",77187
"154","Khyber Pakhtunkhwa","Bajaur","pop_boys_primary_student",0
"155","Khyber Pakhtunkhwa","Bannu","pop_boys_primary_student",54722
"156","Khyber Pakhtunkhwa","Batagram","pop_boys_primary_student",40820
"157","Khyber Pakhtunkhwa","Buner","pop_boys_primary_student",90532
